APP ID,additional_information minus PII,edited version,making.ends.meet,employment,looking for work,illness.or.disability,stigma,homeless,county_name,
410403,"IÃ¢â‚¬â„¢ve had 3 back injuries this year.
 
  
 
  I work as a caregiver to the elderly in their homes. I go without pay when I take time off work or decline offered jobs from my agency due to my back injuries. (ItÃ¢â‚¬â„¢s against my agencyÃ¢â‚¬â„¢s rules to eat clientÃ¢â‚¬â„¢s foods by the way so I do not have that privilege). I can only afford to eat once or twice a day and my health is declining. I buy most of my own food. I try my best not to eat the healthy foods that my parents buy or cook because my father is diabetic and my mother is prediabetic and they need healthy food for themselves. My parents have a hard time affording their own foods so I starve myself so that they could have vegetables, fruits, and meats. I always skip breakfast to avoid spending too much money on food. Also, I have about $1000 in a bank account that was gifted to me for school. The only reason IÃ¢â‚¬â„¢m able go to collge this Fall semester is because I got gifted that money. I have not touched that money for anything. I paid for my two classes with money that I earned. IÃ¢â‚¬â„¢m going to save the gifted money for books and school supplies and as emergency gas money for school. Thank you for reading.","I've had 3 back injuries this year. I work as a caregiver to the elderly in their homes. I go without pay when I take time off work or decline offered jobs from my agency due to my back injuries. I can only afford to eat once or twice a day and my health is declining. I buy most of my own food. I try my best not to eat the healthy foods that my parents buy or cook because my father is diabetic and my mother is prediabetic and they need healthy food for themselves. Also, I have about $1000 in a bank account that was gifted to me for school. The only reason I'm able go to college this Fall semester is because I got gifted that money. I have not touched that money for anything.",NA,1,,NA,,NA,Orange,
410808,i recently came out of the closet and was married couldnt get out of the marriage so left went to moms who couldnt accept me being gay or siblings so i left for Oakland. It had been known for sometime by fake wife and mom but they still reacted really bad and did not accept it. originay planndd to pay bills with Uber job but car was stolen and now i need to wait on a new job to do the stsndsrd 2 week pay cycle before i can even buy basic thjngs like food. i can be fairly frugal but it is going to be a while till even a regular job makes its first check.,"I was married when I came out of the closet. I couldnt get out of the marriage even though my wife long knew that I was gay so I went to my mom's. My mom couldn't accept me being gay, nor could my siblings. I left for the Bay Area. I originally planned to pay the bills driving for Uber, but my car was stolen. I have a new job, but need to wait two weeks before getting paid so I can buy basic things like food. ",1,2,,NA,,NA,Alameda,
416064,"I started a long term sub position for Folsom Cordova School District, but do not get paid until September 10th. I anticipate this amount to be $1500 for the amount of time I worked in August. I get paid $2,000/month in child support on the 1st of every month. My sub job is not regular and varies. I was not able to work June & July because school was closed. I am looking for a fulltime teaching job and subbing in the meantime.","I started a long term subtitute teacher position, but do not get paid until September 10th. I anticipate this amount to be $1500 for the amount of time I worked in August. The hours for my sub job are irregular. I was not able to work June & July because school was closed. I am looking for a fulltime teaching job. ",NA,1,,NA,,NA,El Dorado,
416425,"i never thought i would ever apply for this help but i got a dui 2 years ago it was a bad decision i made on my part, i had a great job working as a tank driver delivering fuel to gasoline stations and paid big time for this mess i lost everything and had hope i would make it through but when my girlfriend left with my kids because i lost my job i lost hope and fell in a big depression...i just need a little help for a couple months as im already working on getting my class A again, thank you for your time","I never thought i would ever apply for this help, but things started to quickly go downhill when I got a DUI two years ago. I had a great job working as a tank driver delivering fuel to gasoline stations. I paid big time for my bad decision. I lost everything. I lost my job and then my girlfriend left with our kids because I didn't have any income. I fell into a big depression... I just need a little help for a couple months as I'm already working on getting my class A license again. ",1,2,,NA,1,NA,Orange,
416439,"my undmployment ends september 30th and I have not yet found steady work. I am trying my hardest to find work and keep food on the table for my child. my Calfresh was cur off unexpectedly because i could not provide check stubs. i have nonaccess to check stubs as of rihht now since mynpaybis dorect deposited and there is not a portal for me to view that information. I edplained this to be lady i spoke woth on the phone and ahw said she would send a form to have my manager fill out. instead of receiving a form in the mail, i received a notice of benwfits being cancelled. I al desperate to feed my family and i really newd help. please help me get the benefits back on so i can feed my child. thank you",My unemployment ends June 30th. I have not yet found steady work. I am trying my hardest to find work and keep food on the table for my child. I am desperate to feed my family and I really need help. ,NA,1,2,NA,,NA,Santa Clara,
396801,"I have been unemplyed the last month. I am in the process of getting hired at an on campus job in university housing, though I have multiple applications out for more job opportunities.
 
  
 
  Much of my schooling is covered through CalVet college fee waiver program. 
 
  
 
  I am struggling to cover the cost of school on my own such as extra fees and books.
 
  
 
  I am trying to further my future by earning a degree to one day be finacially stable and available to help others in need.","I have been unemplyed this last month. I am in the process of getting hired at an on campus job in university housing, though I have multiple applications out for more job opportunities. Although some of my schooling is covered through CalVet college fee waiver program, I am struggling to cover extra school fees and books. I am trying to further my future by earning a degree to one day be finacially stable and available to help others in need.",1,1,2,NA,,NA,Butte,
419259,"My husband walked out on me and my 2 kids 2 months ago and filed for divorce a month ago. He is still paying the mortgage and utilities but barely any for food and has otherwise cut me off financially. I started college 2 years ago to become a nurse and am still in school with the hope of applying to college of marin's nursing school at the end of this year. I have used up what little money I had to enroll in my last class and get my kids started back to school and have little left. I am trying to sort out my situation and have some family help but have urgent need for food assistance and expect that to be the case for some time as my husband says he's not helping any further and I have a few years before I will be able to become a nurse, and school prohibits me from working full time. I am looking for part time work right now that will work for while i'm in school and also being there for my kids. I am not eligible for unemployment as I have been home raising kids all these years.","My husband walked out on me and my two kids a couple months ago and filed for divorce a month ago. He is still paying the mortgage and utilities but barely any for food and has otherwise cut me off financially. I started college two years ago to become a nurse and am still in school. I have used up what little money I had to enroll in school and get my kids started back to school. I am trying to sort out my situation and have some family help but have urgent need for food assistance and expect that to be the case for some time as my husband says he's not helping any further and I have a few years before I will be able to become a nurse, and school prohibits me from working full time. I am not eligible for unemployment as I have been home raising kids all these years.",1,2,,NA,,NA,Marin,
280061,"I was a full time student last semester, will be a part time student this upcoming (summer semester) and if I still don't have a job in the fall will resume being a full time student. I am currently in the application process for summer internships. I'm staying in my ex-husbands house for a while, I am in the same house as my kids, but I don't have the funds to pitch in (and they are over 18). My daughter pays for my cel phone. The only bill I have is for my stuff in storage. I am saving up money for my car wich needs 980.00 in engine work and new brakes. (why I have the money that I do have) The college grant money I was awarded last semester I was not allowed to collect because the program I was enrolled in was inelligible. (in case my social security number pops it up) I am not curently collecting on my disability (bi-polar disorder *diagnosed at age 14) 
 
I was on food stamps over a year ago for a few months and got off of it once I started making more money, although I am still on the free medical care program. I hope that re-applying for food stamps does not mess anything up with my medical benefits. I need that more than anything.","I was a full time student last semester, will be a part time student this upcoming (summer semester) and if I still don't have a job in the fall will resume being a full time student. I am currently in the application process for summer internships. I'm staying in my ex-husbands house for a while, I am in the same house as my kids, but I don't have the funds to pitch in (and they are over 18). My daughter pays for my cell phone. The only bill I have is for my stuff in storage. I am saving up money for my car which needs 980.00 in engine work and new brakes. ",1,NA,2,NA,,1,El Dorado,
314383,"Out of the only income I have (Soc. Security: $1,051/mo), I have my Major Medical monthly insurance of $75 taken out automatically, plus I have only 1 Medication Prescription of $110 needed every 1 1/2 mo., plus my auto registration each year, auto insurance ($320 each 6 mo.s), propane for cooking and heating (I live in a camper and rent the space with electric & water included for $250/mo in exchange for being caretaker of this uninhabited home), gas for auto & lawn mower, etc. I was an RN until I fractured my right heel bone and was forced to retire...Disability was declined. I really need help for food and other basic necessities. No Dental insurance and BAD teeth, cannot get Dental Care.","I was an registered nurse until I fractured my right heel bone and was forced to retire - disability was declined. The only income I have is Social Security ($1,047/month). Each month, my expenses average $75 for major medical insurance, $80 for one prescription medication, $54 for auto insurance, $30 for auto registration, $250 for propane for cooking and heating (I live in a camper). I do not have dental insurance and can't afford to get care for my bad teeth. I really need help for food and other basic necessities. ",1,NA,,NA,,1,Fresno,
319229,"I live in a house with some friends close by the college campus, but we don't share groceries. Often times it's strange to feel like I have to skip 1-2 meals a day because going out to eat is too expensive, but at the same time buying groceries really stretches my wallet after taxes and various unforeseen living expenses are taken care of. 
 
  I don't like to think of myself as the type of person that complains about their situation either. I will always do anything in my power to overcome adverse situations, but I do feel as if I'm in a weird gray area at the moment. I definitely acknowledge that I have more blessings than other students who, for example, might be homeless, but at the same time, having to work two jobs while being a full-time student and also taking part in my Club Dragon Boat team (extracurricular) can take a toll on my mental health. 
 
  By applying for CalFresh, I don't see myself as complaining, but attempting to take control of my situation and the cards life's dealt me. There are many times that I have been envious of my friends or housemates' situations, where money and food aren't a primary stressor in their lives. While I'm proud of myself for being able to support myself financially, I realize now that I shouldn't let my pride get in the way of applying for something like CalFresh. 
 
  I hope this helps whoever may be reading this.","It still feels strange to have to skip 1-2 meals a day. I don't like to think of myself as the type of person that complains about their situation either. I will always do anything in my power to overcome adverse situations. By applying for CalFresh, I don't see myself as complacent, but attempting to take control of my situation and the cards life has dealt me.",1,NA,,NA,1,NA,Orange,
322677,"As a college student, it is difficult to maintain a healthy diet especially when you have financial restrictions. I want to be able to buy healthier food at grocery stores without having to worry about the cost it'll take out of my pocket. At times I don't choose the healthiest food options but instead just get the basic, less healthy, neccessay foods and stir away from more expensive, healthy ones. Any financial support that I could recieve would really take away the financial burden I feel everytime I walk into a grocery store. I'd also be able to make healthier food choices which would improve my health and overall help me focus more on my academics and less on what I'll be eating everyday.","As a college student without much money, trying to buy enough healthy food at the grocery store is a real challenge. I'd like to make healthier food choices and focus more on my academics and less on what I'll be able to eat everyday.",1,NA,,NA,,NA,Yolo,
329675,"I lost my home in the tubbs fire, and because of complications with FEMA not being able to understand that I was renting a room out of a large home with multiple people shareing the same situation as I, I did not receive lodging assistance. All of my money that I did receive from FEMA ended up going to hotel costs. After couch serfing for 6 months, I finaly found a friend who had a room opening up. Unfortunatly I had spent everything on hotel costs, rental aplications, and simply trying to get my life back together, I have nothing left. not even enough to spare for yet another rental application that I will most likely be denied for. I need help. I can't even afford to buy myself a new bed. I'm putting myself in debt because I thought now would be a good time to see a dentist after 7 years.... I figure no one is going to actually read this anyway, so it's mostly just venting. Maybe I'll get lucky, and who ever's in charge of this case will atleast get an understanding of what those of us that didn't own 3 homes are struggling with.","I lost my home in the Tubbs Fire, and because of complications with FEMA not being able to understand that I was renting a room out of a large home with multiple people sharing the same situation as I, I did not receive lodging assistance. All of my money that I did receive from FEMA ended up going to hotel costs. After couch surfing for 6 months, I finally found a friend who had a room opening up. Unfortunatly I had spent everything on hotel costs, rental aplications, and simply trying to get my life back together. I have nothing left. Not even enough to spare for yet another rental application that will most likely be denied. I need help. I can't even afford to buy myself a new bed. I'm putting myself in debt because I thought now would be a good time to see a dentist after 7 years... I figure no one is going to actually read this anyway, so it's mostly just venting. Maybe I'll get lucky, and who ever's in charge of this case will at least get an understanding of what those of us who didn't own 3 homes before the Tubbs Fire are struggling with.",1,NA,,NA,,NA,Sonoma,
331325,"Hi,
 
  We just moved up from San Diego because we had lost our jobs down South. We moved back to El Dorado County because that is where our family lives AND its cheaper.
 
  We have both been applying to the hospitals around the area as well as contruction myself. I have been on multiple interviews and unfortunetly they picked other people for the positions.
 
  We are looking for some help with food during this rough patch until I am able to find a fulltime position to bring in money. Between our rent and bills we have very little left for food afterwards.
 
  Last year we cashed out all our retirement to get us moved back to Northern California. We did live with family for 3 months. Then we were able to find a house with low rent. However now our funds are getting low again and we are running out of options. We pray that a job will come up soon.
 
 
  My wife works for 2 companies on contracts. So income varies monthly.
 
 
  I am eager to talk with you about this and we can provide anything that you guys need.
 
 Thank you for all you do for everyone who needs help.
 
   
  Chat soon,
 
  
 NAME",I'd like to be able to make healthier food choices which would improve my health and overall help me focus more on my academics and less on what I'll be eating everyday.,1,NA,,NA,,NA,El Dorado,
340577,"In February, I relocated to Sacramento in order to comply with my landlord's request that I vacate the property I rented in Bakersfield, CA due to my inability to pay back rent. I am an appraiser by trade(16 years) but, since moving to Sacramento, I haven't been able to find work. A couple weeks ago, my annual software fees were due as well as my business insurance and I was unable to pay. This has shut down my business. I am looking for work. I am selling things in order to survive on a daily basis. I anticipate this request for food stamps to be temporary. I look forward to getting back on my feet soon but, some assistance, esp food assistance, would help immensely.","In February, I moved to Sacramento from Bakersfield because my landlord asked me to leave (I was behind on rent and couldn't pay). I have been working as an appraiser for 16 years, but since moving to Sacramento I haven't been able to find work. A couple weeks ago, my annual software fees were due as well as my business insurance and I was unable to pay. This has shut down my business. I am looking for work. I am selling things in order to survive on a daily basis. I anticipate this request for food stamps to be temporary. I look forward to getting back on my feet soon but, some assistance, especially food assistance, would help immensely.",1,NA,,NA,,NA,Sacramento,
346571,I may be having to move in the next 1 to 4 weeks depending on the grace of my landlord otherwise I will be homeless. I have no family support at this time and no friends willing or able to help me. I have pop tarts and tomato soup and frozen burritos until I can get help from Cal Fresh. I have multiple physical and mental health challenges and doctor appointments each week. I was given the phone # 800-821-9799 from someone at Medi-Cal to contact you but it was a telemarketing company that I was led to believe was associated with Cal Fresh yet I could never get a live person who didn't want my credit card number. Please look into this and if it is a scam or not. Thank you.,"I may be having to move in the next 1 to 4 weeks, depending on the grace of my landlord, otherwise I will be homeless. I have no family support at this time and no friends willing or able to help me. I have pop tarts and tomato soup and frozen burritos until I can get help from Cal Fresh. I have multiple physical and mental health challenges and doctor appointments each week. ",1,NA,1,NA,,1,Orange,
350517,"I applied for Assistance when I was initially laid off in 10/2017. Due to my unemployment compensation, my caseworker declared I was only eligible for 15.00 per month in food. The card was never issued and I was never provided assistance for CalFresh despite many calls and verifications sent. My unemployment ran out in April. I am under a one year lease. My son works where I used to work, and he has the only income for the family. The rent is all of our income. My other children are in college full time and there is no work-study this year. They are on grants for their academics through PELL and SEOG. I really want someone who can evaluate our situtation and provide resources. Thank you.","My unemployment ran out in April. I am under a one year lease. My son works where I used to work, and he has the only income for the family. The rent is all of our income. My other children are in college full time and there is no work-study this year. They are on grants for their academics through PELL and SEOG. I really want someone who can evaluate our situtation and provide resources. Thank you.",1,NA,,NA,,NA,Monterey,
350786,"Thank you for your time and allowing me to continue the appication process even though I was prompted our monthly income exceeded the allowance by some. We just recently moved here to California and are struggling each month with enough money to properly buy groceries after rent, insurance, gas, utilities, conservice and vehicle bills. I am currently pregnant which will make 4 in this household by november and I am nervous we won't be able to contine to buy food at the end of each month with rent being so high, utilities, conservice and insurance etc. We cannot afford childcare so I have to stay home with children as well as we only have one vehicle to commue. Hoping we can get any kind of help there is available, even a little goes a LONG way. Thank you so much for your time.","We just recently moved here to California and are struggling each month with enough money to properly buy groceries after rent, insurance, gas, utilities, conservice and vehicle bills. I am currently pregnant which will make 4 in this household by November and I am nervous we won't be buy enough food. We cannot afford childcare so I have to stay home with my children. Hoping we can get any kind of help there is available, even a little goes a LONG way. ",1,NA,,NA,,NA,Orange,
362234,"My Father, who is head of my household lives in Nicaragua with my three little siblings, and pays for my older sister's tuition in Penn State University. Every month, he would send me 200$ to eat and pay for expenses. Nevertheless, you might already know that Nicaragua is going through horrible situation due to government opression towards citizens. This has caused my father's business to go borderline bankrupt; thus making it extremely difficult for him to keep up paying my sister's apartment, her tuition, my tuition, my needs and my other siblings and stepmother. Currently, I am looking for a job near my apartment but even with that money I would earn, I still have to pay rent, utilities, and still go to college in USF next month.","Currently, I am looking for a job near my apartment but even with that money I would earn, I still have to pay rent, utilities, and still go to college next month.",1,NA,,NA,,NA,San Francisco,
367974,"NAME and I recently had a baby, her name is NAME and all 3 of us live in a back home while everyone else I listed lives in the front house together. NAME pays the bills and everything else while I stay home and take care of our newborn. We do not recieve help such as extra money or taken to get groceries and we do pay his parents for rent and utilities, he also pays for his own car and the insurance and my phone bill so it doesnt leave us with very much extra money for groceries when only one person is able to work. We have a joint account, I had to close mine because I wasnt able to afford it nor do I have any money coming in anymore.","My husband, baby, and I live with his parents. We do not recieve help such as extra money or taken to get groceries and we do pay his parents for rent and utilities. My husband pays for his own car, insurance, and our phone bills, so it doesn't leave us with very much extra money for groceries when only one person is able to work. ",1,NA,,NA,,NA,San Mateo,
380483,"I have never lived on my own before and much of it can be overwhelming, especially when everything that I used to have help with I am now facing alone. I realized how quickly things add up and its becoming increasingly more stressful to try to keep up. I'd like to think I can make it without assistance but the reality is im not in a place where I can do that yet. Living paycheck to paycheck is like a scheduled anxiety attack. My health and weight have declined greatly since moving out because the only food I can afford for myself is fast food & dollar tree items. I have lost a lot of weight that I am desperately trying to gain back and I get sick/cold often due to an unhealthy immune system. My goal is to be able to purchase more groceries that are healthier & more nourishing for my body. I believe this will help me gain back the weight I've lost & boost my health.","I have never lived on my own before - much of it can be overwhelming, especially when everything that I used to have help with I now face alone. I realized how quickly things add up and its more and more stressful to keep up. I'd like to think I can make it without assistance but the reality is I'm not in a place where I can do that yet. Living paycheck to paycheck is like a scheduled anxiety attack. My health and weight have declined greatly since moving out because the only food I can afford for myself is fast food & dollar tree items. I get sick more often due to my poor health. My goal is to be able to purchase more groceries that are healthier & more nourishing. ",1,NA,,NA,,NA,Santa Cruz,
386481,"I had calfresh once before but I was struggling really hard with housing and jobs. 
 
  
 
  I've moved twice since then.
 
  
 
  I believe I didn't report my 6 month report on time (or it didn't go through) which inevitably caused me to lose my calfresh previously.
 
  
 
  
 
  
 
  I am on my way to going back to school, and I have stable housing. (i'm on a year lease)
 
  
 
  It would be extremely beneficial for me to have calfresh as an option while I'm a student so I don't have to worry so hard about where my food income is coming from, so I can focus on school and going back to school in a way where I'll actually be set up for success, this time.
 
  
 
  
 
  
 
  Thank you!",I finally have stable housing and going back to school. It would be extremely beneficial for me to have CalFresh as an option while I'm a student so I don't have to worry so hard about where my food income is coming from. ,1,NA,,NA,,1,Santa Cruz,
391595,"Hello, 
 
  
 
  Even if our income is around 3,000 more or less. with credit card bills, auto insurance, gas, clothes, diapers, utility bills, repairing the old car, etc... it gets expensive and times we cannot keep up with affording food so spending $8 for 4 on McDonalds or boiling potatoes with salt is what we have to survive. Other days just WIC but even WIC cut us on a lot of food so its sometimes all we have for the week. because of our income my kids are no longer able to have Medi-cal and having to pay overpriced health insurance is just a might as well be homeless. 
 
  
 
  Thank you.","Even if our income is around $3,000 per month, with credit card bills, auto insurance, gas, clothes, diapers, utility bills, repairing the old car, etc... it gets expensive and times we cannot keep up with affording food so spending $8 for 4 on McDonalds or boiling potatoes with salt is what we have to do to survive. Because of our income my kids are no longer able to have MediCal and if we have to pay for overpriced health insurance, we might as well be homeless. ",1,NA,,NA,,1,Monterey,
395203,"I have a car payment thatÃ¢â‚¬â„¢s $335.46 every month and daycare bill of $175 i pay every week. Along with rent, phone bill, and gad, I have nearly nothing to spend on food. I often donÃ¢â‚¬â„¢t eat so my child can eat instead. I feel terrible feeding him cheap unhealthy food because I enjoy cooking but I canÃ¢â‚¬â„¢t afford ingredients to even cook anything. ItÃ¢â‚¬â„¢s embarressing but I often eat left over food at work or school cafeteria so I have energy. So I would absoulutely appreciate any help I can get.","I have a car payment that's $336 every month and a weekly daycare bill of $175. After rent, the phone bill, and gas, I have nearly nothing to spend on food. I often don't eat so that my child can eat. I feel terrible feeding him cheap unhealthy food because I enjoy cooking but I can't afford the ingredients to even cook anything. It's embarressing, but I often eat leftover food at work or the school cafeteria so I have the energy to function. So I would absoulutely appreciate any help I can get.",1,NA,,NA,,NA,Monterey,
